Bus Route Number,Source Location,Destination Location,Type of Bus,Time
63D,Nagapattinam,Tiruchirappalli,Express,11:26
37A,Tiruchirappalli,Nagapattinam,Government,05:26
36C,Pudukkottai,Tiruvallur,Express,06:47
94D,Tirunelveli,Cuddalore,Non-AC,01:45
42A,Ariyalur,Cuddalore,Government,00:56
62C,Tiruchirappalli,Tiruppur,AC,23:02
28B,Hosur,Nagapattinam,AC,09:23
28A,Perambalur,Tiruppur,Express,15:09
79C,Cuddalore,Hosur,Government,16:19
46B,Vellore,Thanjavur,Government,11:13
14D,Kanchipuram,Cuddalore,Private,05:01
14D,Tiruvannamalai,Krishnagiri,AC,22:56
16B,Dindigul,Tirunelveli,Private,13:26
23A,Dharmapuri,Kanchipuram,Private,22:10
76B,Vellore,Karur,Non-AC,13:59
82D,Pudukkottai,Vellore,Government,02:47
29C,Ariyalur,Thoothukudi,Government,14:00
71D,Namakkal,Nagapattinam,AC,15:31
89D,Tirunelveli,Perambalur,Private,12:42
78C,Vellore,Tiruppur,AC,12:27
8D,Cuddalore,Tiruppur,Government,16:31
39A,Namakkal,Perambalur,Private,11:59
49A,Dindigul,Namakkal,AC,00:00
52D,Tiruppur,Karur,AC,17:59
9A,Karur,Vellore,Government,16:20
56C,Tiruvannamalai,Sivakasi,Express,11:30
53A,Vellore,Chennai,AC,00:05
59D,Tiruchirappalli,Virudhunagar,Non-AC,10:01
40B,Tiruvannamalai,Krishnagiri,Non-AC,17:29
4B,Perambalur,Tiruvallur,Non-AC,12:59
21C,Cuddalore,Ariyalur,AC,06:23
46B,Tiruppur,Perambalur,Private,21:56
95C,Dharmapuri,Hosur,Express,23:27
36C,Nagercoil,Ariyalur,Non-AC,13:56
87A,Thoothukudi,Ariyalur,Non-AC,22:16
37D,Vellore,Thoothukudi,AC,11:57
61A,Ariyalur,Nagapattinam,Government,04:20
99D,Namakkal,Tiruvannamalai,Private,00:42
87A,Krishnagiri,Madurai,Private,09:44
64C,Karur,Coimbatore,Express,13:01
57C,Thoothukudi,Erode,Express,16:18
35B,Nagapattinam,Ramanathapuram,Express,00:59
66D,Virudhunagar,Sivakasi,Private,03:32
4D,Thoothukudi,Tiruvallur,Private,23:59
78A,Erode,Chennai,Private,03:12
4A,Tiruchirappalli,Tiruppur,Private,17:40
8D,Sivakasi,Ariyalur,AC,15:21
77C,Ariyalur,Tiruvannamalai,AC,18:03
58B,Dharmapuri,Thanjavur,Non-AC,04:58
71A,Karur,Tirunelveli,AC,09:10
20D,Nagapattinam,Karur,Non-AC,13:37
92A,Tiruvallur,Pudukkottai,Non-AC,06:40
78B,Cuddalore,Tiruvallur,Private,03:46
29D,Ariyalur,Madurai,Private,20:51
45A,Cuddalore,Kanchipuram,Private,07:58
2A,Nagapattinam,Ramanathapuram,Private,11:21
77D,Ariyalur,Virudhunagar,Government,15:15
69D,Dharmapuri,Kanchipuram,Private,13:54
17A,Coimbatore,Virudhunagar,Non-AC,03:09
12D,Coimbatore,Virudhunagar,Express,10:19
94D,Thanjavur,Madurai,Private,17:19
55B,Erode,Ariyalur,Private,02:16
28B,Cuddalore,Tiruchirappalli,Private,13:50
24A,Tiruvallur,Cuddalore,Private,07:35
12B,Thanjavur,Chennai,Express,00:05
24A,Virudhunagar,Perambalur,AC,12:57
47B,Tiruvannamalai,Tiruchirappalli,Government,11:15
21D,Pudukkottai,Sivakasi,Private,16:43
95B,Ramanathapuram,Salem,Express,07:48
91C,Kanchipuram,Nagercoil,AC,19:48
23C,Tiruppur,Karur,Private,08:27
98D,Sivakasi,Krishnagiri,Government,20:02
14B,Thoothukudi,Nagapattinam,Express,18:21
49B,Tiruppur,Dindigul,Non-AC,08:15
83B,Pudukkottai,Sivakasi,Government,14:45
98C,Tirunelveli,Ariyalur,Government,08:37
7A,Pudukkottai,Tiruvannamalai,Government,05:34
98A,Krishnagiri,Erode,AC,20:40
9D,Erode,Thanjavur,Express,01:05
1C,Nagapattinam,Tiruppur,Express,22:38
43B,Pudukkottai,Chennai,Non-AC,02:19
44A,Virudhunagar,Sivakasi,Express,05:42
57C,Virudhunagar,Tiruchirappalli,AC,09:31
29D,Nagercoil,Pudukkottai,Government,15:54
94B,Nagapattinam,Chennai,Government,21:29
55B,Nagercoil,Erode,Express,02:20
7A,Perambalur,Nagapattinam,Government,05:05
79D,Ramanathapuram,Vellore,Government,12:44
36A,Cuddalore,Coimbatore,Express,14:13
31A,Tiruppur,Ariyalur,Private,17:28
31A,Chennai,Kanchipuram,Express,13:37
13B,Sivakasi,Salem,Express,08:32
4B,Vellore,Coimbatore,Non-AC,14:35
91D,Kanchipuram,Hosur,Private,00:25
31A,Karur,Krishnagiri,Express,16:55
10B,Vellore,Kanchipuram,AC,04:49
69C,Tiruvallur,Dindigul,Private,22:00
59D,Vellore,Ariyalur,Non-AC,04:35
79C,Thoothukudi,Tiruvannamalai,Government,10:17
76B,Sivakasi,Tirunelveli,Government,07:43
81C,Pudukkottai,Coimbatore,Non-AC,09:29
40A,Tiruppur,Ramanathapuram,Non-AC,10:09
98C,Cuddalore,Tirunelveli,AC,11:15
93C,Tiruppur,Salem,AC,04:26
4A,Hosur,Tiruchirappalli,AC,03:18
38D,Cuddalore,Sivakasi,Non-AC,10:49
14B,Tirunelveli,Hosur,Express,09:19
51D,Hosur,Ramanathapuram,Non-AC,19:16
93A,Krishnagiri,Tiruppur,AC,18:29
26B,Krishnagiri,Kanchipuram,Non-AC,01:03
6C,Kanchipuram,Salem,Government,00:28
65D,Tiruvallur,Sivakasi,Express,19:44
94A,Krishnagiri,Sivakasi,Government,19:24
15C,Dharmapuri,Thanjavur,Private,00:39
87B,Tiruppur,Tiruvannamalai,AC,06:05
56A,Nagapattinam,Vellore,Private,02:12
10B,Tiruvallur,Thanjavur,Express,19:17
67B,Namakkal,Pudukkottai,AC,20:22
4B,Tiruvallur,Krishnagiri,Government,14:50
4B,Sivakasi,Tiruchirappalli,Express,21:16
57B,Dharmapuri,Pudukkottai,Non-AC,16:17
2B,Tiruvallur,Pudukkottai,Private,06:20
92C,Dharmapuri,Dindigul,Non-AC,02:13
89B,Thanjavur,Ariyalur,AC,12:01
35B,Ramanathapuram,Thanjavur,Non-AC,20:03
69B,Tirunelveli,Vellore,AC,08:56
77C,Namakkal,Thanjavur,Express,22:50
86C,Coimbatore,Vellore,Non-AC,13:05
12A,Perambalur,Tiruppur,Express,08:35
13A,Chennai,Tiruppur,Government,10:12
68A,Erode,Karur,Express,08:28
50C,Dharmapuri,Tiruvannamalai,Government,08:54
89D,Tiruchirappalli,Tiruvallur,Government,11:07
57B,Tirunelveli,Sivakasi,Private,18:10
9D,Tirunelveli,Nagercoil,AC,15:10
88C,Chennai,Virudhunagar,Non-AC,21:25
32B,Sivakasi,Madurai,Government,02:07
65B,Vellore,Salem,Government,08:13
93D,Salem,Namakkal,Government,23:07
42C,Tiruvallur,Tirunelveli,AC,19:53
37A,Sivakasi,Dindigul,Non-AC,04:54
37D,Virudhunagar,Pudukkottai,Express,13:42
17B,Cuddalore,Pudukkottai,Private,05:53
16B,Salem,Madurai,AC,01:14
95B,Sivakasi,Chennai,Government,07:51
43A,Tirunelveli,Pudukkottai,Non-AC,15:50
76C,Tiruppur,Tiruchirappalli,AC,15:36
14C,Pudukkottai,Thanjavur,Express,23:05
46D,Tiruchirappalli,Virudhunagar,Private,14:45
82A,Karur,Coimbatore,Non-AC,16:48
37D,Virudhunagar,Salem,Private,02:22
39D,Dindigul,Namakkal,AC,14:58
97C,Hosur,Dindigul,AC,01:39
1C,Namakkal,Dharmapuri,AC,17:22
96D,Ramanathapuram,Salem,Express,13:42
25B,Erode,Coimbatore,Government,03:32
12B,Karur,Kanchipuram,Government,15:46
15A,Thoothukudi,Krishnagiri,Government,03:07
62C,Coimbatore,Kanchipuram,Government,14:29
30D,Tiruvannamalai,Tiruchirappalli,Non-AC,14:58
21A,Sivakasi,Vellore,Private,05:35
55C,Nagercoil,Krishnagiri,Private,17:35
85B,Coimbatore,Nagercoil,Express,19:34
46B,Hosur,Tiruppur,Express,06:00
92A,Thanjavur,Hosur,Non-AC,10:30
61A,Thoothukudi,Tiruvannamalai,Non-AC,02:39
24C,Thoothukudi,Vellore,Private,07:10
39A,Tiruvallur,Ariyalur,Non-AC,18:22
88B,Dindigul,Nagercoil,Non-AC,03:43
7C,Sivakasi,Erode,Private,14:20
71D,Hosur,Namakkal,Express,19:48
42D,Coimbatore,Vellore,Express,05:04
88D,Chennai,Ariyalur,Government,08:59
43A,Namakkal,Tiruvannamalai,AC,04:00
68C,Hosur,Tirunelveli,Government,08:55
45B,Kanchipuram,Thoothukudi,AC,02:23
46C,Kanchipuram,Sivakasi,AC,11:55
5B,Krishnagiri,Thoothukudi,Government,13:38
55C,Madurai,Dharmapuri,Express,10:07
55D,Kanchipuram,Vellore,AC,03:38
38B,Tiruvannamalai,Sivakasi,Express,22:32
74A,Karur,Krishnagiri,Express,05:17
36B,Thanjavur,Madurai,Private,14:25
22B,Coimbatore,Tiruchirappalli,Express,10:09
90A,Krishnagiri,Salem,Non-AC,21:33
91C,Chennai,Dharmapuri,Non-AC,19:34
18A,Sivakasi,Salem,Private,00:32
5B,Erode,Virudhunagar,Government,01:33
12D,Perambalur,Nagapattinam,Express,14:02
54A,Namakkal,Erode,Express,09:27
40A,Madurai,Pudukkottai,Non-AC,10:34
4D,Sivakasi,Coimbatore,Non-AC,03:03
62A,Tiruvallur,Hosur,AC,19:46
63D,Tiruvallur,Tirunelveli,Non-AC,13:11
66C,Ramanathapuram,Tiruchirappalli,Express,15:06
18A,Tiruchirappalli,Ramanathapuram,Government,04:31
94D,Pudukkottai,Kanchipuram,Express,03:52
11D,Tiruvallur,Namakkal,Government,16:37
11A,Madurai,Tiruvallur,AC,09:16
26A,Nagercoil,Nagapattinam,Government,06:10
11D,Hosur,Perambalur,Express,19:08
77B,Kanchipuram,Nagercoil,Express,22:25
85B,Tiruchirappalli,Pudukkottai,Express,18:33
84B,Tiruvallur,Tiruppur,AC,03:35
1D,Dindigul,Kanchipuram,Government,14:16
20D,Thoothukudi,Tiruvannamalai,Non-AC,23:34
35B,Namakkal,Kanchipuram,Express,02:10
68C,Krishnagiri,Perambalur,Non-AC,13:52
89A,Sivakasi,Tiruchirappalli,AC,01:46
71D,Vellore,Ramanathapuram,Express,09:41
74B,Hosur,Tiruppur,Express,01:59
66B,Tiruppur,Ramanathapuram,Private,00:30
53A,Tiruppur,Tiruvannamalai,Private,20:30
85C,Virudhunagar,Tiruppur,Government,11:34
31D,Pudukkottai,Tirunelveli,Express,10:04
45D,Nagapattinam,Dindigul,Non-AC,13:48
9C,Tiruvallur,Kanchipuram,Non-AC,11:00
16A,Hosur,Tiruchirappalli,AC,00:45
79C,Dindigul,Karur,Express,18:21
51C,Perambalur,Sivakasi,Express,23:41
23C,Tirunelveli,Erode,AC,23:04
28A,Namakkal,Ramanathapuram,Government,00:55
31A,Ariyalur,Virudhunagar,Private,22:10
53C,Erode,Namakkal,Express,11:47
19C,Thoothukudi,Ramanathapuram,Private,17:54
83D,Tiruchirappalli,Coimbatore,AC,00:48
68D,Madurai,Tirunelveli,Government,05:50
29C,Virudhunagar,Chennai,AC,10:16
49D,Erode,Krishnagiri,Non-AC,01:42
43D,Chennai,Hosur,Government,06:59
15B,Tiruvannamalai,Thanjavur,Non-AC,22:07
52D,Erode,Nagapattinam,AC,19:41
99A,Namakkal,Nagapattinam,AC,18:18
62B,Vellore,Dindigul,AC,20:04
88D,Nagercoil,Kanchipuram,Government,05:33
28C,Tiruchirappalli,Krishnagiri,Non-AC,16:08
77B,Pudukkottai,Chennai,Non-AC,13:36
42B,Krishnagiri,Namakkal,Government,13:42
72A,Dharmapuri,Dindigul,Non-AC,22:27
68C,Cuddalore,Thanjavur,Government,22:38
2A,Vellore,Nagapattinam,Government,05:12
65C,Perambalur,Namakkal,Private,10:22
6B,Tiruvannamalai,Thoothukudi,Government,00:43
9B,Coimbatore,Nagapattinam,Government,02:57
80D,Erode,Nagapattinam,AC,09:17
53D,Madurai,Dharmapuri,Express,14:54
74D,Tiruchirappalli,Ramanathapuram,Express,10:49
12A,Tiruchirappalli,Coimbatore,Government,12:38
51B,Virudhunagar,Tiruvallur,AC,02:56
60C,Sivakasi,Erode,Express,17:12
82D,Tiruppur,Dindigul,Non-AC,08:18
86D,Salem,Kanchipuram,Express,09:58
25B,Virudhunagar,Cuddalore,Government,08:15
59A,Dindigul,Sivakasi,Private,13:32
46A,Erode,Pudukkottai,Express,03:55
29D,Karur,Hosur,Non-AC,21:46
62D,Thanjavur,Dindigul,Non-AC,04:49
75A,Karur,Thanjavur,Express,11:03
99A,Erode,Chennai,Express,23:37
69C,Thanjavur,Salem,Express,03:48
25B,Perambalur,Tiruvallur,Express,18:00
42A,Namakkal,Vellore,Non-AC,19:02
16A,Thanjavur,Virudhunagar,AC,17:13
57C,Tiruvannamalai,Tiruppur,Private,17:45
68A,Dindigul,Thanjavur,AC,04:41
36B,Cuddalore,Hosur,Non-AC,23:51
68B,Tiruvannamalai,Nagapattinam,Government,04:12
18C,Kanchipuram,Hosur,Government,00:42
93A,Namakkal,Nagapattinam,Private,09:56
47A,Tirunelveli,Pudukkottai,Government,23:26
92D,Thoothukudi,Sivakasi,AC,09:23
40A,Namakkal,Tiruchirappalli,Express,23:29
41C,Perambalur,Virudhunagar,Private,16:41
76D,Madurai,Tiruvallur,Government,18:17
16C,Nagercoil,Salem,Government,06:32
15B,Virudhunagar,Tiruchirappalli,Express,13:34
98C,Ramanathapuram,Perambalur,AC,07:57
36A,Hosur,Pudukkottai,Government,04:00
4A,Tiruppur,Nagapattinam,Non-AC,08:15
23A,Nagercoil,Chennai,Government,12:29
32C,Nagercoil,Virudhunagar,Private,10:05
33D,Salem,Ramanathapuram,Government,06:25
29B,Dharmapuri,Vellore,AC,09:11
48C,Karur,Tiruvallur,Non-AC,06:53
78C,Virudhunagar,Nagapattinam,Express,19:44
1C,Vellore,Kanchipuram,Government,13:41
60A,Thoothukudi,Karur,AC,16:31
83D,Virudhunagar,Nagercoil,Government,14:55
88A,Hosur,Tirunelveli,AC,22:01
16A,Tirunelveli,Thanjavur,Government,14:10
84B,Karur,Tiruvannamalai,Private,09:41
98B,Coimbatore,Dharmapuri,AC,17:46
13B,Thoothukudi,Dindigul,Private,16:00
26C,Krishnagiri,Ariyalur,Express,20:47
71B,Ariyalur,Tirunelveli,Non-AC,18:34
29A,Ramanathapuram,Namakkal,Non-AC,20:40
32A,Nagapattinam,Karur,AC,11:22
65C,Chennai,Sivakasi,Government,13:23
25D,Chennai,Pudukkottai,AC,16:46
52C,Thoothukudi,Kanchipuram,Express,02:39
58D,Coimbatore,Kanchipuram,Express,11:18
88D,Kanchipuram,Virudhunagar,Non-AC,23:21
60C,Coimbatore,Perambalur,AC,00:22
19D,Madurai,Cuddalore,Non-AC,17:48
42B,Ariyalur,Karur,Non-AC,13:01
64A,Hosur,Sivakasi,Government,21:33
26B,Tiruppur,Namakkal,Private,17:26
40D,Salem,Tiruppur,Private,19:47
33C,Coimbatore,Karur,Private,12:00
47B,Thanjavur,Hosur,Private,18:57
33D,Tiruvannamalai,Dharmapuri,AC,18:03
51B,Vellore,Pudukkottai,Non-AC,10:41
73C,Tiruvannamalai,Salem,AC,18:45
74D,Salem,Thanjavur,Express,01:31
41C,Kanchipuram,Krishnagiri,Non-AC,05:10
29A,Ariyalur,Thanjavur,Non-AC,10:13
99C,Tiruppur,Ariyalur,AC,08:00
33D,Vellore,Tirunelveli,Private,23:36
16B,Cuddalore,Vellore,Government,04:46
8C,Salem,Karur,Private,18:42
6B,Ariyalur,Namakkal,AC,20:01
37A,Erode,Tiruppur,Private,01:10
50C,Virudhunagar,Kanchipuram,AC,06:05
86D,Cuddalore,Nagapattinam,Express,13:58
70B,Perambalur,Hosur,Non-AC,09:30
64A,Ramanathapuram,Ariyalur,Private,20:23
66B,Coimbatore,Dharmapuri,Non-AC,20:30
75B,Erode,Namakkal,AC,15:25
29A,Ariyalur,Tiruvallur,Non-AC,00:01
58B,Salem,Hosur,Non-AC,03:58
18C,Dharmapuri,Tiruvallur,Private,10:04
28A,Virudhunagar,Kanchipuram,Express,21:40
86C,Pudukkottai,Salem,Express,20:59
78D,Dindigul,Coimbatore,Non-AC,12:36
13A,Tiruvallur,Tirunelveli,Non-AC,18:19
7D,Sivakasi,Krishnagiri,Private,14:56
27D,Tiruppur,Thoothukudi,AC,04:26
81B,Sivakasi,Ariyalur,Non-AC,22:16
41A,Tirunelveli,Hosur,Non-AC,11:48
39B,Ramanathapuram,Pudukkottai,Government,22:04
37D,Tirunelveli,Hosur,Non-AC,08:15
76D,Tiruvallur,Hosur,Government,19:29
39D,Dindigul,Thanjavur,Express,19:15
4B,Madurai,Coimbatore,Private,14:23
36A,Perambalur,Pudukkottai,AC,13:01
92A,Tiruvannamalai,Vellore,Government,09:26
59B,Dindigul,Tiruchirappalli,Express,08:41
52B,Chennai,Hosur,Government,00:54
59A,Pudukkottai,Nagapattinam,Government,07:47
28D,Chennai,Nagapattinam,Government,23:46
41B,Vellore,Cuddalore,Private,06:03
62C,Virudhunagar,Namakkal,Express,02:52
8B,Karur,Nagercoil,AC,05:58
55D,Dindigul,Tiruchirappalli,Government,18:20
81A,Tiruppur,Namakkal,AC,15:11
33B,Nagapattinam,Virudhunagar,Express,00:11
58A,Tiruppur,Thoothukudi,Government,00:10
2A,Pudukkottai,Tiruvannamalai,Express,19:20
24A,Salem,Hosur,Non-AC,04:40
96A,Karur,Erode,Non-AC,06:00
7D,Hosur,Pudukkottai,Express,08:34
31B,Erode,Krishnagiri,AC,20:26
74D,Cuddalore,Tiruvallur,Private,21:05
34D,Coimbatore,Tiruppur,Private,17:20
15D,Pudukkottai,Dharmapuri,Private,18:45
5D,Erode,Tiruchirappalli,Government,12:16
9D,Hosur,Tirunelveli,Private,14:58
20D,Madurai,Tiruchirappalli,Government,23:38
3D,Erode,Krishnagiri,Private,06:53
32C,Pudukkottai,Namakkal,AC,17:09
41B,Kanchipuram,Dharmapuri,Express,09:44
35D,Chennai,Karur,Private,11:37
1A,Kanchipuram,Tiruvannamalai,Government,00:48
93B,Ramanathapuram,Nagercoil,Private,20:57
37B,Virudhunagar,Tirunelveli,Government,04:53
91C,Tiruchirappalli,Karur,Government,17:02
94C,Chennai,Nagapattinam,AC,20:43
31C,Virudhunagar,Cuddalore,AC,17:36
88A,Nagercoil,Hosur,AC,17:16
43A,Madurai,Cuddalore,Non-AC,07:09
17A,Virudhunagar,Tiruvallur,Government,02:33
43C,Sivakasi,Karur,Government,19:17
95D,Dindigul,Tirunelveli,Express,06:54
75B,Nagercoil,Ramanathapuram,AC,01:03
85C,Nagapattinam,Ariyalur,Express,10:40
92A,Karur,Kanchipuram,Private,06:21
88D,Perambalur,Madurai,Express,12:14
18B,Perambalur,Chennai,Government,18:32
71A,Tirunelveli,Tiruvannamalai,AC,12:57
65A,Thanjavur,Nagapattinam,Express,00:07
75A,Hosur,Pudukkottai,Private,16:05
15A,Tiruvallur,Vellore,Non-AC,12:49
76D,Tiruppur,Thoothukudi,Express,14:01
54C,Tirunelveli,Krishnagiri,Express,07:45
47D,Pudukkottai,Chennai,AC,05:34
96A,Perambalur,Namakkal,AC,07:34
97A,Ariyalur,Erode,Government,23:59
32B,Ramanathapuram,Hosur,Private,03:02
34B,Sivakasi,Salem,Government,02:32
31D,Thanjavur,Chennai,Government,16:17
47A,Perambalur,Nagapattinam,Government,13:28
11D,Dharmapuri,Tiruppur,Private,13:05
36C,Nagercoil,Krishnagiri,Non-AC,08:36
42B,Ariyalur,Sivakasi,Express,18:14
98B,Pudukkottai,Salem,AC,10:32
55B,Thanjavur,Nagapattinam,Express,09:25
3A,Virudhunagar,Tiruchirappalli,Non-AC,18:59
38B,Thoothukudi,Virudhunagar,Private,20:16
64C,Madurai,Thanjavur,Government,02:32
98A,Cuddalore,Tiruppur,Government,14:19
79D,Erode,Krishnagiri,Non-AC,03:58
84A,Vellore,Nagapattinam,Private,21:09
74D,Chennai,Coimbatore,Express,11:08
75A,Perambalur,Madurai,Express,19:34
26A,Ramanathapuram,Tiruchirappalli,Express,20:38
33D,Thanjavur,Perambalur,Express,10:00
13C,Namakkal,Perambalur,Express,20:22
83A,Tiruvannamalai,Madurai,Express,16:20
85A,Nagercoil,Coimbatore,Non-AC,18:58
81B,Dindigul,Virudhunagar,Government,00:24
12A,Thoothukudi,Sivakasi,Private,09:14
61D,Perambalur,Tiruvannamalai,Government,08:18
15B,Karur,Perambalur,Government,16:51
5C,Hosur,Nagapattinam,Private,00:11
60C,Vellore,Namakkal,AC,01:46
76D,Pudukkottai,Tiruvannamalai,AC,16:23
17A,Tiruchirappalli,Hosur,Non-AC,10:18
13A,Pudukkottai,Ariyalur,Non-AC,11:53
23D,Erode,Kanchipuram,Private,21:09
92C,Thanjavur,Perambalur,AC,05:46
52D,Nagercoil,Perambalur,Non-AC,07:39
52C,Sivakasi,Nagapattinam,Express,15:15
64D,Nagercoil,Tirunelveli,Express,12:36
57D,Kanchipuram,Dharmapuri,Government,00:41
72A,Tiruvannamalai,Perambalur,Non-AC,21:11
12A,Dindigul,Coimbatore,Private,11:10
2D,Karur,Thoothukudi,Government,05:21
74B,Perambalur,Ariyalur,Private,08:14
38C,Tiruppur,Tiruvannamalai,Government,13:56
14A,Sivakasi,Madurai,AC,02:53
38D,Thoothukudi,Krishnagiri,AC,13:33
11D,Coimbatore,Vellore,Non-AC,15:16
21B,Cuddalore,Tirunelveli,Express,15:40
93A,Thoothukudi,Thanjavur,Non-AC,18:23
61C,Krishnagiri,Nagapattinam,Non-AC,09:44
84D,Krishnagiri,Virudhunagar,Express,18:57
14A,Perambalur,Dharmapuri,Private,20:09
66A,Kanchipuram,Karur,Private,21:19
10A,Namakkal,Nagercoil,Non-AC,14:28
97B,Namakkal,Nagercoil,Private,16:25
77C,Nagapattinam,Virudhunagar,Express,15:02
64B,Kanchipuram,Dharmapuri,AC,05:16
49D,Tiruvallur,Erode,Express,05:45
62B,Hosur,Namakkal,Private,03:55
60C,Cuddalore,Pudukkottai,Non-AC,21:16
68C,Chennai,Salem,Private,08:29
88B,Coimbatore,Ramanathapuram,Express,04:12
29A,Tirunelveli,Erode,Express,09:27
44A,Krishnagiri,Madurai,Government,01:03
68A,Thoothukudi,Cuddalore,Express,16:27
53A,Karur,Perambalur,Express,12:34
42A,Pudukkottai,Vellore,Private,07:57
21B,Erode,Dindigul,Government,03:43
40A,Tiruchirappalli,Madurai,AC,01:59
49C,Nagapattinam,Sivakasi,Non-AC,10:41
24A,Tiruvallur,Thoothukudi,Non-AC,05:13
30A,Thanjavur,Cuddalore,Government,04:00
96A,Karur,Tirunelveli,Private,14:07
19C,Namakkal,Krishnagiri,Express,15:38
69C,Cuddalore,Coimbatore,Private,15:35
32C,Salem,Dharmapuri,Express,02:15
53D,Erode,Madurai,Government,05:23
10B,Thanjavur,Ramanathapuram,Express,10:33
88C,Tiruppur,Tirunelveli,Private,16:59
23B,Cuddalore,Madurai,Private,00:19
86D,Madurai,Nagapattinam,Government,02:29
84D,Madurai,Nagercoil,Private,14:13
38D,Pudukkottai,Tiruvannamalai,Express,06:31
30B,Coimbatore,Salem,Express,12:32
42B,Thoothukudi,Krishnagiri,Government,02:08
52A,Vellore,Ramanathapuram,Government,22:57
16A,Salem,Namakkal,AC,01:47
54C,Dharmapuri,Perambalur,Non-AC,00:00
78B,Chennai,Salem,Government,09:19
1B,Thanjavur,Tiruvallur,AC,12:13
84D,Sivakasi,Chennai,Government,02:29
48C,Tiruvannamalai,Vellore,Government,19:41
76B,Tirunelveli,Thanjavur,Non-AC,00:16
57D,Kanchipuram,Dharmapuri,Non-AC,21:24
83A,Karur,Tiruvallur,Government,13:04
82A,Nagercoil,Tiruppur,Government,23:13
42C,Virudhunagar,Sivakasi,AC,21:12
43D,Ariyalur,Chennai,Government,06:08
8B,Tiruvallur,Virudhunagar,Government,12:38
15B,Vellore,Cuddalore,Private,18:35
39A,Ariyalur,Krishnagiri,Non-AC,21:09
38B,Nagapattinam,Perambalur,Non-AC,14:29
67A,Thoothukudi,Ramanathapuram,Private,04:25
39A,Nagercoil,Tirunelveli,Non-AC,05:45
93C,Virudhunagar,Erode,Government,23:55
66C,Ramanathapuram,Tirunelveli,AC,15:08
30B,Nagapattinam,Chennai,Non-AC,13:19
11B,Tiruvallur,Tiruvannamalai,AC,15:17
89A,Dharmapuri,Thanjavur,AC,04:38
15A,Pudukkottai,Namakkal,AC,09:13
9A,Tirunelveli,Salem,Non-AC,19:34
1B,Salem,Cuddalore,Express,21:43
92B,Cuddalore,Sivakasi,Express,08:15
10B,Thoothukudi,Krishnagiri,AC,00:23
56D,Madurai,Tiruchirappalli,Private,01:09
37D,Vellore,Krishnagiri,Express,02:04
98C,Tiruchirappalli,Madurai,AC,02:37
32B,Sivakasi,Tiruchirappalli,Government,14:59
27B,Kanchipuram,Madurai,Non-AC,14:45
36D,Erode,Vellore,Private,19:13
28A,Perambalur,Nagercoil,Express,03:32
20D,Dharmapuri,Nagapattinam,Non-AC,08:43
99D,Karur,Vellore,AC,23:16
37B,Krishnagiri,Sivakasi,AC,01:55
54A,Virudhunagar,Hosur,Non-AC,13:09
99A,Tirunelveli,Vellore,AC,21:03
37C,Kanchipuram,Pudukkottai,Non-AC,06:42
77D,Cuddalore,Thanjavur,Non-AC,11:01
63C,Dindigul,Nagapattinam,Private,22:11
6A,Vellore,Ariyalur,AC,19:09
45B,Salem,Tiruvallur,AC,00:15
29B,Hosur,Madurai,AC,21:42
52B,Tirunelveli,Salem,Government,12:41
55B,Thanjavur,Tiruvannamalai,Express,20:38
64D,Krishnagiri,Kanchipuram,Non-AC,16:37
30B,Tirunelveli,Namakkal,Non-AC,15:15
63D,Ariyalur,Tirunelveli,Private,02:58
75C,Namakkal,Madurai,AC,05:50
43B,Kanchipuram,Hosur,Non-AC,07:50
42B,Tiruvallur,Salem,Non-AC,12:08
97B,Perambalur,Dharmapuri,AC,05:35
92D,Madurai,Pudukkottai,Government,07:17
70B,Thoothukudi,Ariyalur,AC,11:01
46A,Tiruppur,Tiruvallur,Non-AC,15:31
64A,Salem,Pudukkottai,Private,04:16
82C,Tiruchirappalli,Pudukkottai,AC,14:12
59A,Tiruppur,Chennai,Private,15:22
16A,Coimbatore,Dharmapuri,Express,02:49
91A,Erode,Thoothukudi,Private,09:14
61D,Salem,Thanjavur,Private,05:30
3B,Madurai,Virudhunagar,Express,07:54
29B,Perambalur,Tiruvallur,AC,22:58
8A,Thoothukudi,Kanchipuram,Express,05:19
42C,Virudhunagar,Nagapattinam,Private,09:15
5C,Nagapattinam,Salem,Government,09:09
74B,Dindigul,Nagapattinam,Government,11:19
94A,Dindigul,Sivakasi,AC,08:04
84C,Pudukkottai,Salem,Government,09:29
81C,Nagapattinam,Salem,AC,20:43
83C,Chennai,Perambalur,Non-AC,05:35
89A,Thanjavur,Madurai,Government,02:48
63C,Salem,Chennai,AC,08:07
77B,Tiruvannamalai,Namakkal,AC,08:27
65D,Kanchipuram,Dharmapuri,Express,07:11
77D,Perambalur,Tiruvannamalai,Private,19:52
10B,Erode,Ariyalur,Private,02:08
22D,Dharmapuri,Erode,Express,05:56
92D,Sivakasi,Ariyalur,Non-AC,17:19
79C,Nagapattinam,Perambalur,Government,13:09
90A,Pudukkottai,Perambalur,Government,04:49
93A,Karur,Vellore,Express,16:17
29A,Pudukkottai,Tiruvallur,Non-AC,06:22
98D,Madurai,Dharmapuri,Non-AC,17:26
78C,Madurai,Vellore,Express,00:41
54C,Nagapattinam,Dindigul,AC,02:32
96B,Tiruppur,Karur,Express,18:02
4A,Tiruvallur,Hosur,AC,15:50
